category,response,numerator,denominator,percent,order,analyte,challenge,remedy
Years of performing OA testing,0-5,1,31,3.2,1,,,
Years of performing OA testing,6-10,1,31,3.2,2,,,
Years of performing OA testing,11-15,1,31,3.2,3,,,
Years of performing OA testing,15-20,4,31,12.9,4,,,
Years of performing OA testing,>20,24,31,77.4,5,,,
Number of OA tested per year,<100,2,31,6.5,1,,,
Number of OA tested per year,100-500,7,31,22.5,2,,,
Number of OA tested per year,501-1000,12,31,38.7,3,,,
Number of OA tested per year,>1000,10,31,32.3,4,,,
Type of instrument used for OA,GC-MS,28,31,90.3,1,,,
Type of instrument used for OA,GC-MS/MS,2,31,6.5,2,,,
Type of instrument used for OA,"GC-MS, LCMS",1,31,3.2,3,,,
Vendors of instruments used,Agilent,26,33,78.8,1,,,
Vendors of instruments used,Thermo Scientific,3,33,9.1,2,,,
Vendors of instruments used,Schimadzu,2,33,6.1,3,,,
Vendors of instruments used,Perkin Elmer,2,33,6.1,4,,,
Run time for routine analysis (minutes),10-30,5,32,15.6,1,,,
Run time for routine analysis (minutes),31-60,23,32,71.9,2,,,
Run time for routine analysis (minutes),>60,4,32,12.5,3,,,
Reasons for creatinine normalization,Urine volume adjustment,30,35,85.7,1,,,
Reasons for creatinine normalization,IS adjustment,3,35,8.6,2,,,
Reasons for creatinine normalization,Reporting normalization,1,35,2.9,3,,,
Reasons for creatinine normalization,BSTFA (silylation),1,35,2.9,4,,,
Special procedures for high/low creatinine samples?,Yes,16,30,53.3,1,,,
Special procedures for high/low creatinine samples?,No,14,30,46.7,2,,,
Specimen rejection based on minimum creatinine results?,Yes,18,32,58.3,1,,,
Specimen rejection based on minimum creatinine results?,No,14,32,43.7,2,,,
Criteria used by lab to reject urine sample,Visible contamination,25,53,47.2,1,,,
Criteria used by lab to reject urine sample,Too low creatinine,13,53,24.5,2,,,
Criteria used by lab to reject urine sample,Transport/storage delay/deteriorated,10,53,18.9,3,,,
Criteria used by lab to reject urine sample,Insufficient volume/leaked sample,3,53,5.7,4,,,
Criteria used by lab to reject urine sample,Improper container/preservative,1,53,1.9,5,,,
Criteria used by lab to reject urine sample,Analyze with a comment/disclaimer,1,53,1.9,6,,,
Chemicals used for extraction,Ethyl acetate,20,30,66.7,1,,,
Chemicals used for extraction,Ethyl acetate + Ether,8,30,26.7,2,,,
Chemicals used for extraction,Urease,2,30,6.7,3,,,
Does your laboratory perform oximation?,Yes (Always),19,32,59.4,1,,,
Does your laboratory perform oximation?,Yes (clinical context),2,32,6.3,2,,,
Does your laboratory perform oximation?,No,11,32,34.4,3,,,
Reagent Laboratory is using for oximation,Hydroxylamine,16,21,76.2,1,,,
Reagent Laboratory is using for oximation,Methoxylamine,2,21,9.5,2,,,
Reagent Laboratory is using for oximation,Pentafluorobenzylhydroxylamine hydrochloride,2,21,9.5,3,,,
Reagent Laboratory is using for oximation,Ethoxylamine,1,21,4.8,4,,,
Derivatization Method,Trimethylsilylation,32,32,100.0,1,,,
Spikes IS before extraction to track efficiency,Yes,31,32,96.9,1,,,
"Spikes ES post-extraction, pre-evaporation to verify instrument performance",Yes,11,32,34.4,1,,,
What is the number of internal standards used in your procedure?,1,14,32,43.8,1,,,
What is the number of internal standards used in your procedure?,2,8,32,25.0,2,,,
What is the number of internal standards used in your procedure?,≥3,10,32,31.3,3,,,
Why laboratories use more than one internal standard,Quantitation/Semi Quantification,12,31,38.7,1,,,
Why laboratories use more than one internal standard,Oximation,6,31,19.4,2,,,
Why laboratories use more than one internal standard,Extraction efficiency,9,31,29.0,3,,,
Why laboratories use more than one internal standard,Instability during dry-down,2,31,6.5,4,,,
Why laboratories use more than one internal standard,Sensitivity Check,2,31,6.5,5,,,
Type of internal standard for monitoring pre-analytical steps,2-ketocaproic acid,5,33,15.2,1,,,
Type of internal standard for monitoring pre-analytical steps,Pentadecanoic acid,4,33,12.1,2,,,
Type of internal standard for monitoring pre-analytical steps,Heptadecanoic acid,4,33,12.1,3,,,
Type of internal standard for monitoring pre-analytical steps,2-phenylbutyric acid,2,33,6.1,4,,,
Type of internal standard for monitoring pre-analytical steps,Undecanedioic acid,2,33,6.1,5,,,
Type of internal standard for monitoring pre-analytical steps,"3,3-dimethylglutaric",1,33,3.0,6,,,
Type of internal standard for monitoring pre-analytical steps,"3,4-dimethoxyphenylacetic acid",1,33,3.0,7,,,
Type of internal standard for monitoring pre-analytical steps,4-phenylbutyric acid,1,33,3.0,8,,,
Type of internal standard for monitoring pre-analytical steps,Bromobenzoic acid,1,33,3.0,9,,,
Type of internal standard for monitoring pre-analytical steps,Caproic acid,1,33,3.0,10,,,
Type of internal standard for monitoring pre-analytical steps,hexanoyl glycine and orotic acid,1,33,3.0,11,,,
Type of internal standard for monitoring pre-analytical steps,ortho-hydroxyphenylacetic acid,1,33,3.0,12,,,
Type of internal standard for monitoring pre-analytical steps,p-chlorobenzoic acid,1,33,3.0,13,,,
Type of internal standard for monitoring pre-analytical steps,stable isotope labeled organic acids,4,33,12.1,14,,,
Type of internal standard for monitoring pre-analytical steps,Tetracosane,1,33,3.0,15,,,
Type of internal standard for monitoring pre-analytical steps,Tropic acid,1,33,3.0,16,,,
Type of internal standard for quantitation/semi-quantitation purposes,2-ketocaproic acid,6,26,23.1,1,,,
Type of internal standard for quantitation/semi-quantitation purposes,Heptadecanoic acid,3,26,11.5,2,,,
Type of internal standard for quantitation/semi-quantitation purposes,2-phenylbutyric acid,3,26,11.5,3,,,
Type of internal standard for quantitation/semi-quantitation purposes,stable isotope labeled organic acids,3,26,11.5,4,,,
Type of internal standard for quantitation/semi-quantitation purposes,Pentadecanoic acid,2,26,7.7,5,,,
Type of internal standard for quantitation/semi-quantitation purposes,Tetracosane,1,26,3.8,6,,,
Type of internal standard for quantitation/semi-quantitation purposes,ortho-hydroxyphenylacetic acid,1,26,3.8,7,,,
Type of internal standard for quantitation/semi-quantitation purposes,Cyclohexylacetic acid,1,26,3.8,8,,,
Type of internal standard for quantitation/semi-quantitation purposes,"3,3-dimethylglutaric",1,26,3.8,9,,,
Type of internal standard for quantitation/semi-quantitation purposes,4-phenylbutyric acid,1,26,3.8,10,,,
Type of internal standard for quantitation/semi-quantitation purposes,Succinic acid-d6,1,26,3.8,11,,,
Type of internal standard for quantitation/semi-quantitation purposes,Undecanedioic acid,1,26,3.8,12,,,
Type of internal standard for quantitation/semi-quantitation purposes,Undecanoic acid,1,26,3.8,13,,,
Type of internal standard for quantitation/semi-quantitation purposes,p-chlorobenzoic acid,1,26,3.8,14,,,
Does your laboratory perform quantitative analysis,NO – only qualitative review,11,30,36.7,1,,,
Does your laboratory perform quantitative analysis,YES – for a subset of compounds,14,30,46.7,2,,,
Does your laboratory perform quantitative analysis,YES – on all analyzed compounds,5,30,16.7,3,,,
How many compounds are quantified,1–10,5,21,23.8,1,,,
How many compounds are quantified,11–20,4,21,19.0,2,,,
How many compounds are quantified,21–30,1,21,4.8,3,,,
How many compounds are quantified,More than 30,11,21,52.4,4,,,
Number of standard mixes prepared for calibration,1,5,19,26.3,1,,,
Number of standard mixes prepared for calibration,2,2,19,10.5,2,,,
Number of standard mixes prepared for calibration,3 or more,12,19,63.2,3,,,
Units of quantitation,mmol/mol creatinine,15,20,75.0,1,,,
Units of quantitation,mg/g creatinine,1,20,5.0,2,,,
Units of quantitation,μmol/mol creatinine,3,20,15.0,3,,,
Units of quantitation,Semi quantitation pseudo units (PU),1,20,5.0,4,,,
